#No	flag 	FP 	DOF 	redchi	chi	BIC		lnZ 	CDF	T	Tup 	Tlo 	Rp 	Rpup	Rplo	H-	H-up	H-lo	Na	Naup	Nalo	K 	Kup	Klo	H2O	H2Oup	H2Olo	CH4	CH4up	CH4lo	CO	COup	COlo	CO2	CO2up	CO2lo	TiO 	TiOup	TiOlo	VO 	VOup	VOlo	loga	logaup	logalo	gamma	gammaup	gammalo	logP	logPup	logPlo
1	3	25	43	1.35	58.05	163.5376926	465.98	93.76	1312.2	166.2	158.3	1.64	0.02	0.02	-8.35	0.46	0.62	-6.72	3.15	3.18	-6.34	3.11	3.54	-1.68	0.26	0.31	NaN	NaN	NaN	-7.04	2.98	3.02	-2.59	0.43	0.49	-7.97   1.16	2.27	-9.87	1.37	1.32	4.37	0.65	0.58	-8.89	2.04	3.01	-0.90	1.79	1.86
2	3	18	50	1.18	59	134.9511387	465.31	82.04	1312.5	170.6	164.0	1.63	0.02	0.02	-8.29	0.46	0.66	-7.07	3.19	3.17	-5.80	2.87	3.99	-1.69	0.27	0.36	-4.05	0.55	1.15	-7.27	3.18	3.01	-2.60	0.42	0.53	-8.03	1.20	2.37	-9.91	1.42	1.33	4.16	0.72	0.64	-9.45	2.64	4.14	-0.83	1.83	1.97
3	3	16	52	1.13	58.76	126.2721233	466.32	75.83	1270.5	171.3	166.3	1.64	0.02	0.02	-8.43	0.50	0.79	-7.15	3.14	3.09	-6.20	3.02	3.09	-1.80	0.31	0.49	-4.16	0.57	1.00	-7.26	3.15	3.03	-2.72	0.46	0.64	-8.31	1.33	2.23	-10.06	1.41	1.23	3.97	0.73	0.75	-9.28	2.55	3.91	-0.66	1.69	1.92
4	3	15	53	1.11	58.83	122.1226156	466.55	72.94	1272.3	177.2	168.0	1.64	0.02	0.02	-8.48	0.53	0.83	-7.09	3.25	3.16	-5.33	2.46	4.25	-1.87	0.34	0.59	-4.23	0.59	1.12	-7.29	3.16	3.06	-2.80	0.51	0.74	NaN	NaN	NaN	-10.09	1.43	1.24	3.82	0.68	0.80	-8.24	2.03	2.89	-0.60	1.68	1.91
5	3	14	54	1.08	58.32	117.3931079	467.97	68.04	1241.9	172.3	163.8	1.64	0.03	0.03	-8.63	0.60	1.20	-7.49	3.13	2.90	-6.39	3.01	3.61	-1.99	0.41	0.98	-4.38	0.65	1.40	-7.41	3.14	2.94	-2.94	0.58	1.06	-8.65	1.49	2.08	-10.29	1.47	1.11	3.69	0.80	1.19	-9.23	2.50	3.70	-0.49	1.60	1.84
6	1	13	55	1.06	58.3	113.1536002	468.28	64.50	1237.7  176.9	165.8	1.65	0.03	0.03	-8.83	0.69	1.63	-7.58	3.21	2.90	-6.22	3.05	3.64	-2.16	0.49	1.49	-4.53	0.73	1.76	-7.43	3.11	2.93	-3.13	0.69	1.58	NaN	NaN	NaN	-10.48	1.47	1.02	3.40	2.08	1.57	-8.21	2.08	2.99	-0.32	1.51	1.84
7	1	13	55	1.07	58.85	113.7036002	468.6	66.35	1203	176.8	158.8	1.65	0.04	0.03	-9.04	0.82	1.77	-7.96	3.10	2.62	-7.1	3.34	3.10	-2.28	0.58	1.69	-4.69	0.82	1.93	-7.50	3.01	2.91	-3.25	0.76	1.79	-9.20	1.78	1.76	NaN	NaN	NaN	3.27	0.94	1.73	-9.16	2.49	3.86	-0.19	1.40	1.77
8	1	12	56	1.05	58.8	109.4340925	468.01	62.67	1225.5	337	304	1.65	0.06	0.05	-9.02	1.22	2.71	-7.65	4.97	4.07	-6.48	4.08	5.15	-2.3	0.89	2.82	-4.66	1.3	6.04	NaN	NaN	NaN	-3.25	1.63	5.00	NaN	NaN	NaN	-10.56	2.71	1.36	3.22	1.63	5.00	-8.2	3.77	7.93	-0.27	2.12	3.00
9	1	12	56	1.05	58.8	109.4340925	468.66	62.67	1204.2	171.8	161.6	1.65	0.04	0.03	-9.09	0.83	1.84	-7.99	3.12	2.62	-7.04	3.36	3.12	-2.32	0.59	1.77	-4.69	0.82	2.03	NaN	NaN	NaN	-3.29	0.79	1.80	-9.35	1.89	1.67	NaN	NaN	NaN	3.21	0.94	1.76	-9.17	2.54	3.83	-0.22	1.46	1.84
10	1	12	56	1.04	58.24	108.8740925	468.8	60.71	1199.1	185.5	162.6	1.67	0.04	0.03	-9.65	1.25	1.68	-8.14	3.02	2.53	-7.44	3.56	2.73	-2.91	1.05	1.83	-5.15	1.19	2.64	-7.74	3.00	2.78	-3.85	1.19	2.13	NaN	NaN	NaN	NaN	NaN	NaN	2.58	1.31	2.02	-8.39	2.27	3.53	0.06	1.26	1.63
11	1	10	58	1.05	60.9	103.0950771	467.47	62.8	1260.5	201.6	172.9	1.66	0.04	0.04	-9.55	1.19	1.70	NaN	NaN	NaN	NaN	NaN	NaN	-2.98	1.09	1.85	-5.25	1.22	2.89	NaN	NaN	NaN	-4.06	1.30	2.06	NaN	NaN	NaN	-10.78	1.44	0.83	2.53	1.26 	1.96	-7.86	2.12	3.59	0.00	1.34	1.82		
12	1	10	58	1.03	59.74	101.9350771	468.35	58.78	1213.0	192.8	167.9	1.67	0.04	0.04	-9.90	1.43	1.47	NaN	NaN	NaN	NaN	NaN	NaN	-3.21	1.29	1.62	-5.47	1.39	2.78	NaN	NaN	NaN	-4.19	1.43	1.88	-9.68	1.99	1.42	NaN	NaN	NaN	2.30	1.51	2.10	-8.99	2.7	4.66	0.07	1.29	1.72
13	2	9	59	1.04	61.36	99.33556935	468.63	60.86	1252.8	228.5	183.3	1.68	0.03	0.05	-10.77	2.00	0.79	NaN	NaN	NaN	NaN	NaN	NaN	-4.22	1.92	0.91	-6.52	2.04	3.15	NaN	NaN	NaN	-5.22	2.00	1.41	NaN	NaN	NaN	NaN	NaN	NaN	1.38	1.89	2.34	-8.20	2.56	5.00	0.29	1.15	1.45 
14	2	12	56	1.11	62.16	112.7940925	467.41	73.38	1041.5	129.5	125.6	1.71	0.01	0.05	NaN	NaN	NaN	-8.77	2.32	2.14	-8.11	3.30	2.08	-4.42	1.97	0.55	-7.19	1.96	2.98	-7.94	2.78	2.69	-5.20	1.88	1.06	NaN	NaN	NaN	-11.23	0.93	0.53	1.04	1.92	2.86	-9.54	3.84	5.73	-0.18	1.49	2.54
15	2	12	56	1.11	62.16	112.7940925	468.22	73.38	1020.0	128.0	125.1	1.71	0.01	0.04	NaN	NaN	NaN	-9.05	2.19	1.97	-8.46	2.33	2.10	-4.44	1.60	0.48	-7.32	1.64	2.96	-8.02	2.76	2.65	-5.25	1.52	0.94	-10.51	1.31	0.97	NaN	NaN	NaN	0.98	1.63	2.81	-10.66	4.41	5.35	0.00	1.37	2.33
16	2	9	59	1.11	65.49	103.4655693	468.56	73.82	1030.4	282.1	226.4	1.72	0.01	0.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-4.69	0.68	0.35	-7.83	3.02	3.93 	NaN	NaN	NaN	-5.55	2.44	1.62	-10.49	2.79	1.41	NaN	NaN	NaN	0.55	2.82	4.28	-11.90	10.43	7.60	0.40	1.52	3.45
17	2	11	57	1.09	62.13	108.5445848	468.94	70.15	1026.7	112.8	122.7	1.716	0.005	0.008	NaN	NaN	NaN	-9.20	2.02	1.88	-8.45	1.09	1.94	-4.73	0.65	0.32	-7.94	1.43	2.69	-8.19	2.69	2.54	-5.64	0.89	0.81	NaN	NaN	NaN	NaN	NaN	NaN	0.31	1.25	2.81	-10.78	4.86	5.58	0.51	1.01	1.18
18	2	9	60	1.14	67.26	105.2355693	469.02	78.47	1046.0	115.9	121.2	1.717	0.004	0.006	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-4.86	0.45	0.29	-8.31	1.52	2.49	-8.20	2.60	2.54	-5.83	0.74	0.80	NaN	NaN	NaN	NaN	NaN	NaN	0.07	1.19	2.76	-11.17	5.71	5.78	0.63	0.92	1.03
19	2	8	60	1.11	66.6	100.3560616	469.17	73.96	1057.4	115.2	116.6	1.717	0.004	0.006	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-4.90	0.43	0.27	-8.31	1.51	2.51	NaN	NaN	NaN	-5.8	0.72	0.74	NaN	NaN	NaN	NaN	NaN	NaN	-0.34	2.47	3.46	-10.60	9.94	8.83	0.65	1.28	2.57





														

