#dh			eb			cs5			atmo
#1213	1405.8	1045.1	1026.7	1139.5	904	1241.9	1414.2	1078.1	
#1.67	1.71	1.63	1.716	1.721	1.708	1.64	1.67	1.61
#-9.9	-8.47	-11.37	NaN	NaN	NaN	-8.63	-8.03	-9.83
#NaN	NaN	NaN	-9.2	-7.18	-11.08	-7.49	-4.36	-10.39
#NaN	NaN	NaN	-8.45	-7.36	-10.39	-6.39	-3.38	-10
#-3.21	-1.92	-4.83	-4.73	-4.08	-5.05	-1.99	-1.58	-2.97
#-5.47	-4.08	-8.25	-7.94	-6.51	-10.63	-4.38	-3.73	-5.78
#NaN	NaN	NaN	-8.19	-5.5	-10.73	-7.41	-4.27	-10.35
#-4.19	-2.76	-6.07	-5.64	-4.75	-6.45	-2.94	-2.36	-4
#-9.68	-7.69	-11.1	NaN	NaN	NaN	-8.65	-7.16	-10.73
#NaN	NaN	NaN	NaN	NaN	NaN	-10.29	-8.82	-11.4
#2.3	3.81	0.2	0.31	1.56	-2.5	3.69	4.49	2.5
#-8.99	-6.2	-13.65	-10.78	-5.92	-16.36	-9.23	-6.73	-12.93
#0.07	1.36	-1.65	0.51	1.52	-0.67	-0.49	1.11	-2.33
#
#
1213.0	92.8	167.9	1026.7	112.8	122.7	1241.9	172.3	163.8	1250.3	167.7	265.7
1.67	0.04	0.04	1.716	0.005	0.008	1.64	0.03	0.03	1.895	0.033	0.013
-9.90	1.43	1.47	NaN	NaN	NaN	-8.63	0.60	1.20	NaN	NaN	NaN
NaN	NaN	NaN	-9.20	2.02	1.88	-7.49	3.13	2.90	NaN	NaN	NaN
NaN 	NaN 	NaN	-8.45	1.09	1.94	-6.39	3.01	3.61	NaN	NaN	NaN
-3.21	1.29	1.62	-4.73	0.65	0.32	-1.99	0.41	0.98	-2.10	0.22	0.78
-5.47	1.39	2.78	-7.94	1.43	2.69	-4.38	0.65	1.40	-9.64	2.54	1.13
NaN 	NaN 	NaN	-8.19	2.69	2.54	-7.41	3.14	2.94	-1.77	0.23	0.57
-4.19	1.43	1.88	-5.64	0.89	0.81	-2.94	0.58	1.06	-3.93	0.41	0.85
-9.68	1.99	1.42	NaN	NaN	NaN	-8.65	1.49	2.08	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	-10.29	1.47	1.11	NaN	NaN	NaN
2.30	1.51	2.10	0.31	1.25	2.81	3.69	0.80	1.19	NaN	NaN	NaN
-8.99	2.79	4.66	-10.78	4.86	5.58	-9.23	2.50	3.70	NaN	NaN	NaN
0.07	1.29	1.72	0.51	1.01	1.18	-0.49	1.60	1.84	NaN	NaN	NaN
