#log a	#e_up	#e_low	#H2O	#e_up	#e_low	#CO2	#e_up	#e_low
4.37	0.65	0.58	-1.68	0.26	0.31	-2.59	0.43	0.49
1.94	4.13	4.02	-5.07	0.26	0.23	-6.41	0.68	0.72
4.16	0.72	0.64	-1.69	0.27	0.36	-2.6	0.42	0.53
3.97	0.73	0.75	-1.8	0.31	0.49	-2.72	0.46	0.64
-0.34	2.47	3.46	-4.9	0.43	0.27	-5.8	0.72	0.74
0.98	1.63	2.81	-4.44	1.6	0.48	-5.25	1.52	0.94
1.04	1.92	2.86	-4.42	1.97	0.55	-5.2	1.88	1.06
3.82	0.68	0.8	-1.87	0.34	0.59	-2.8	0.51	0.74
0.31	1.25	2.81	-4.73	0.65	0.32	-5.64	0.89	0.81
3.69	0.8	1.19	-1.99	0.41	0.98	-2.94	0.58	1.06
3.27	0.94	1.73	-2.28	0.58	1.69	-3.25	0.76	1.79
3.4	2.08	1.57	-2.16	0.49	1.49	-3.13	0.69	1.58
3.22	1.63	5	-2.3	0.89	2.82	-3.25	1.63	5
3.21	0.94	1.76	-2.32	0.59	1.77	-3.29	0.79	1.8
2.58	1.31	2.02	-2.91	1.05	1.83	-3.85	1.19	2.13
2.3	1.51	2.1	-3.21	1.29	1.62	-4.19	1.43	1.88
